Date,Value,Comment
1983-08-01T00:00:00.000+02:00,99.0584,Historical data not yet verfied
1983-07-01T00:00:00.000+02:00,209.9272,Historical data not yet verfied
1983-06-01T00:00:00.000+02:00,344.8424,Historical data not yet verfied
1983-05-01T00:00:00.000+02:00,495.6112,Historical data not yet verfied
1983-04-01T00:00:00.000+02:00,51.7104,Historical data not yet verfied
1983-03-01T00:00:00.000+02:00,63.2016,Historical data not yet verfied
1983-02-01T00:00:00.000+02:00,117.572,Historical data not yet verfied
1983-01-01T00:00:00.000+02:00,29.0472,Historical data not yet verfied
1982-12-01T00:00:00.000+02:00,89.8016,Historical data not yet verfied
1982-11-01T00:00:00.000+02:00,74.3736,Historical data not yet verfied
1982-10-01T00:00:00.000+02:00,135.2344,Historical data not yet verfied
1982-09-01T00:00:00.000+02:00,81.7152,Historical data not yet verfied
1982-08-01T00:00:00.000+02:00,133.3192,Historical data not yet verfied
1982-07-01T00:00:00.000+02:00,255.1472,Historical data not yet verfied
1982-06-01T00:00:00.000+02:00,176.3048,Historical data not yet verfied
1982-05-01T00:00:00.000+02:00,132.8936,Historical data not yet verfied
1982-04-01T00:00:00.000+02:00,176.9432,Historical data not yet verfied
1982-03-01T00:00:00.000+02:00,51.2848,Historical data not yet verfied
1982-02-01T00:00:00.000+02:00,40.3256,Historical data not yet verfied
1982-01-01T00:00:00.000+02:00,91.3976,Historical data not yet verfied
1981-12-01T00:00:00.000+02:00,71.9264,Historical data not yet verfied
1981-11-01T00:00:00.000+02:00,81.396,Historical data not yet verfied
1981-10-01T00:00:00.000+02:00,47.348,Historical data not yet verfied
1981-09-01T00:00:00.000+02:00,241.6344,Historical data not yet verfied
1981-08-01T00:00:00.000+02:00,245.4648,Historical data not yet verfied
1981-07-01T00:00:00.000+02:00,350.4816,Historical data not yet verfied
1981-06-01T00:00:00.000+02:00,136.0856,Historical data not yet verfied
1981-05-01T00:00:00.000+02:00,38.1976,Historical data not yet verfied
1981-04-01T00:00:00.000+02:00,125.4456,Historical data not yet verfied
1981-03-01T00:00:00.000+02:00,85.8648,Historical data not yet verfied
1981-02-01T00:00:00.000+02:00,11.2784,Historical data not yet verfied
1981-01-01T00:00:00.000+02:00,142.4696,Historical data not yet verfied
1980-12-01T00:00:00.000+02:00,140.3416,Historical data not yet verfied
1980-11-01T00:00:00.000+02:00,145.6616,Historical data not yet verfied
1980-10-01T00:00:00.000+02:00,78.5232,Historical data not yet verfied
1980-09-01T00:00:00.000+02:00,74.48,Historical data not yet verfied
1980-08-01T00:00:00.000+02:00,210.2464,Historical data not yet verfied
1980-07-01T00:00:00.000+02:00,49.6888,Historical data not yet verfied
1980-06-01T00:00:00.000+02:00,301.4312,Historical data not yet verfied
1980-05-01T00:00:00.000+02:00,238.5488,Historical data not yet verfied
1980-04-01T00:00:00.000+02:00,130.2336,Historical data not yet verfied
1980-03-01T00:00:00.000+02:00,13.0872,Historical data not yet verfied
1980-02-01T00:00:00.000+02:00,47.348,Historical data not yet verfied
1980-01-01T00:00:00.000+02:00,57.5624,Historical data not yet verfied
1979-12-01T00:00:00.000+02:00,10.9592,Historical data not yet verfied
1979-11-01T00:00:00.000+02:00,58.2008,Historical data not yet verfied
1979-10-01T00:00:00.000+02:00,231.6328,Historical data not yet verfied
1979-09-01T00:00:00.000+02:00,83.2048,Historical data not yet verfied
1979-08-01T00:00:00.000+02:00,118.2104,Historical data not yet verfied
1979-07-01T00:00:00.000+02:00,140.0224,Historical data not yet verfied
1979-06-01T00:00:00.000+02:00,353.78,Historical data not yet verfied
1979-05-01T00:00:00.000+02:00,117.9976,Historical data not yet verfied
1979-04-01T00:00:00.000+02:00,56.8176,Historical data not yet verfied
1979-03-01T00:00:00.000+02:00,94.8024,Historical data not yet verfied
1979-02-01T00:00:00.000+02:00,47.0288,Historical data not yet verfied
1979-01-01T00:00:00.000+02:00,53.6256,Historical data not yet verfied
1978-12-01T00:00:00.000+02:00,87.6736,Historical data not yet verfied
1978-11-01T00:00:00.000+02:00,84.4816,Historical data not yet verfied
1978-10-01T00:00:00.000+02:00,110.7624,Historical data not yet verfied
1978-09-01T00:00:00.000+02:00,185.9872,Historical data not yet verfied
1978-08-01T00:00:00.000+02:00,188.328,Historical data not yet verfied
1978-07-01T00:00:00.000+02:00,74.5864,Historical data not yet verfied
1978-06-01T00:00:00.000+02:00,47.6672,Historical data not yet verfied
1978-05-01T00:00:00.000+02:00,170.772,Historical data not yet verfied
1978-04-01T00:00:00.000+02:00,158.004,Historical data not yet verfied
1978-03-01T00:00:00.000+02:00,24.5784,Historical data not yet verfied
1978-02-01T00:00:00.000+02:00,34.6864,Historical data not yet verfied
1978-01-01T00:00:00.000+02:00,54.264,Historical data not yet verfied
1977-12-01T00:00:00.000+02:00,106.1872,Historical data not yet verfied
1977-11-01T00:00:00.000+02:00,10.64,Historical data not yet verfied
1977-10-01T00:00:00.000+02:00,71.82,Historical data not yet verfied
1977-09-01T00:00:00.000+02:00,107.996,Historical data not yet verfied
